Cod Istat;Wohngemeinde;Comune di residenza;Numero casi al 20-03-2020;Numero casi al 21-03-2020;Numero casi al 22-03-2022;Numero casi al 26-03-2020;Numero casi al 27-03-2020;aumento di casi dal giorno precedente;positives
21001;Aldein;Aldino;6;6;6;7;7;0;1
21002;Andrian;Andriano;0;0;0;1;1;0;0
21003;Altrei;Anterivo;0;0;0;1;1;0;1
21004;Eppan a.d. Weinstr.;Appiano s.s.d.v.;86;87;90;158;163;5;43
21005;Hafling;Avelengo;0;0;0;0;0;0;0
21006;Abtei;Badia;11;12;14;42;42;0;14
21007;Barbian;Barbiano;2;3;3;7;7;0;1
21008;Bozen;Bolzano;393;414;441;624;766;142;227
21009;Prags;Braies;0;0;4;4;4;0;2
21010;Brenner;Brennero;13;13;13;58;66;8;7
21011;Brixen;Bressanone;66;79;84;132;164;32;42
21012;Branzoll;Bronzolo;3;3;3;4;7;3;2
21013;Bruneck;Brunico;12;17;28;61;81;20;17
21014;Kuens;Caines;0;0;0;0;0;0;0
21015;Kaltern a.d. Weinstr.;Caldaro s.s.d.v.;24;26;28;36;38;2;10
21016;Freienfeld;Campo di Trens;16;23;23;26;27;1;5
21017;Sand in Taufers;Campo Tures;7;18;18;19;22;3;4
21018;Kastelbell-Tschars;Castelbello-Ciardes;0;0;0;2;2;0;0
21019;Kastelruth;Castelrotto;85;85;97;145;179;34;58
21020;Tscherms;Cermes;0;0;1;4;5;1;0
21021;Kiens;Chienes;4;5;9;10;16;6;8
21022;Klausen;Chiusa;10;10;10;25;27;2;8
21023;Karneid;Cornedo all'Isarco;15;17;17;19;19;0;8
21024;Kurtatsch a.d.Weinstr.;Cortaccia s.s.d.v.;1;1;2;2;6;4;1
21025;Kurtinig a.d. Weinstr.;Cortina s.s.d.v.;0;0;0;0;0;0;0
21026;Corvara;Corvara in Badia;11;14;14;35;39;4;14
21027;Graun im Vinschgau;Curon Venosta;2;2;2;7;7;0;2
21028;Toblach;Dobbiaco;1;1;1;10;13;3;3
21029;Neumarkt;Egna;18;18;20;30;30;0;8
21030;Pfalzen;Falzes;2;3;3;4;9;5;3
21031;Völs am Schlern;Fie' allo Sciliar;11;11;16;22;24;2;6
21032;Franzensfeste;Fortezza;0;0;0;6;6;0;4
21033;Villnöss;Funes;11;11;11;13;31;18;3
21034;Gais;Gais;2;4;4;14;14;0;2
21035;Gargazon;Gargazzone;7;7;7;7;7;0;0
21036;Glurns;Glorenza;0;0;0;0;0;0;0
21037;Latsch;Laces;6;6;7;8;8;0;0
21038;Algund;Lagundo;7;7;7;10;18;8;7
21039;Lajen;Laion;21;27;36;40;43;3;16
21040;Leifers;Laives;32;38;38;59;68;9;24
21041;Lana;Lana;8;11;15;25;28;3;6
21042;Laas;Lasa;5;5;5;6;6;0;2
21043;Laurein;Lauregno;0;0;0;0;0;0;0
21044;Lüsen;Luson;0;0;0;0;1;1;0
21045;Margreid a.d. Weinstr.;Magre' s.s.d.v.;1;1;1;1;2;1;0
21046;Mals;Malles Venosta;2;2;2;2;2;0;0
21047;Enneberg;Marebbe;13;18;18;30;32;2;7
21048;Marling;Marlengo;1;1;1;7;8;1;1
21049;Martell;Martello;1;1;1;1;1;0;0
21050;Mölten;Meltina;1;1;1;9;10;1;1
21051;Meran;Merano;91;95;100;172;192;20;58
21052;Welsberg-Taisten;Monguelfo-Tesido;3;3;3;7;8;1;6
21053;Montan;Montagna;14;16;16;8;9;1;4
21054;Moos in Passeier;Moso in Passiria;14;14;14;21;21;0;5
21055;Nals;Nalles;6;6;6;7;7;0;3
21056;Naturns;Naturno;4;6;6;10;10;0;1
21057;Natz-Schabs;Naz-Sciaves;25;25;27;34;34;0;5
21058;Welschnofen;Nova Levante;22;22;22;19;20;1;0
21059;Deutschnofen;Nova Ponente;51;55;55;62;63;1;4
21060;Auer;Ora;6;6;10;14;18;4;6
21061;St.Ulrich;Ortisei;166;167;175;214;218;4;41
21062;Partschins;Parcines;0;0;2;4;4;0;0
21063;Percha;Perca;1;1;1;2;8;6;1
21064;Plaus;Plaus;0;0;0;1;2;1;0
21065;Waidbruck;Ponte Gardena;0;0;0;0;0;0;0
21066;Burgstall;Postal;3;4;4;7;12;5;2
21067;Prad am Stilfser Joch;Prato allo Stelvio;4;4;4;9;9;0;1
21068;Prettau;Predoi;0;0;0;4;4;0;1
21069;Proveis;Proves;0;0;0;0;0;0;0
21070;Ratschings;Racines;10;15;20;26;30;4;8
21071;Rasen-Antholz;Rasun Anterselva;0;1;1;3;3;0;0
21072;Ritten;Renon;9;10;19;32;34;2;9
21073;Riffian;Rifiano;0;2;2;4;4;0;2
21074;Mühlbach;Rio di Pusteria;3;3;3;4;9;5;1
21075;Rodeneck;Rodengo;1;1;1;10;10;0;3
21076;Salurn;Salorno;1;1;1;8;12;4;8
21077;Innichen;S.Candido;1;1;7;11;11;0;4
21079;Jenesien;S.Genesio Atesino;4;5;5;8;9;1;4
21080;St.Leonhard in Pass.;S.Leonardo in Passiria;1;1;1;23;28;5;7
21081;St.Lorenzen;S.Lorenzo di Sebato;4;5;8;14;18;4;3
21082;St.Martin in Thurn;S.Martino in Badia;4;4;4;11;11;0;2
21083;St.Martin in Passeier;S.Martino in Passiria;11;11;11;18;18;0;4
21084;St.Pankraz;S.Pancrazio;4;4;4;4;4;0;1
21085;St.Christina in Gröden;S.Cristina Valgardena;45;56;58;57;61;4;18
21086;Sarntal;Sarentino;1;1;1;12;15;3;3
21087;Schenna;Scena;2;3;3;5;6;1;1
